x;y;z;rho_b
46;52;37;0.067522
47;52;37;0.0923735
48;52;37;0.111314
49;52;37;0.12019
50;52;37;0.117056
51;52;37;0.10262
52;52;37;0.0799639
53;52;37;0.0543634
54;52;37;0.0316693
55;52;37;0.0157236
56;52;37;0.00668913
43;53;37;0.0067603
44;53;37;0.0147945
45;53;37;0.0279264
46;53;37;0.04529
47;53;37;0.0635659
48;53;37;0.0780185
49;53;37;0.0849025
50;53;37;0.0824624
51;53;37;0.0713251
52;53;37;0.0543634
53;53;37;0.0359772
54;53;37;0.0205419
55;53;37;0.0100684
44;54;37;0.00827101
45;54;37;0.015791
46;54;37;0.0261251
47;54;37;0.0374503
48;54;37;0.0468398
49;54;37;0.0514434
50;54;37;0.0498061
51;54;37;0.0424514
52;54;37;0.0316693
53;54;37;0.0205419
54;54;37;0.0115209
55;54;37;0.00562579
45;55;37;0.0077134
46;55;37;0.0128837
47;55;37;0.0187376
48;55;37;0.0237401
49;55;37;0.0262395
50;55;37;0.0253455
51;55;37;0.0213867
52;55;37;0.0157236
53;55;37;0.0100684
54;55;37;0.00562579
46;56;37;0.00547326
47;56;37;0.00798821
48;56;37;0.0101674
49;56;37;0.0112664
50;56;37;0.0108722
51;56;37;0.00913834
52;56;37;0.00668913
46;41;38;0.00616443
47;41;38;0.0089957
48;41;38;0.0114462
49;41;38;0.012685
50;41;38;0.0122413
51;41;38;0.0102865
52;41;38;0.00753227
44;42;38;0.0055745
45;42;38;0.0106113
46;42;38;0.0176517
47;42;38;0.0255585
48;42;38;0.0321975
49;42;38;0.0354966
50;42;38;0.0343238
51;42;38;0.0290778
52;42;38;0.0215058
53;42;38;0.0138146
54;42;38;0.00774419
43;43;38;0.00638057
44;43;38;0.0138593
45;43;38;0.0261488
46;43;38;0.0424632
47;43;38;0.0596713
48;43;38;0.0733963
49;43;38;0.0799228
50;43;38;0.0776179
51;43;38;0.0670336
52;43;38;0.0509753
53;43;38;0.0336993
54;43;38;0.0192119
55;43;38;0.00945374
42;44;38;0.0055745
43;44;38;0.0138593
44;44;38;0.0297136
45;44;38;0.0541555
46;44;38;0.0840342
47;44;38;0.112921
48;44;38;0.134252
49;44;38;0.144044
50;44;38;0.140597
51;44;38;0.124541
52;44;38;0.0985633
53;44;38;0.0683666
54;44;38;0.0405688
55;44;38;0.020471
56;44;38;0.00882449
42;45;38;0.0106113
43;45;38;0.0261488
44;45;38;0.0541555
45;45;38;0.0936447
46;45;38;0.137311
47;45;38;0.175336
48;45;38;0.201718
49;45;38;0.213353
50;45;38;0.209307
51;45;38;0.189801
52;45;38;0.15701
53;45;38;0.114838
54;45;38;0.072265
55;45;38;0.0380621
56;45;38;0.0167664
57;45;38;0.00627929
41;46;38;0.00616443
42;46;38;0.0176517
43;46;38;0.0424632
44;46;38;0.0840342
45;46;38;0.137311
46;46;38;0.190106
47;46;38;0.233091
48;46;38;0.261072
49;46;38;0.273014
50;46;38;0.268876
51;46;38;0.248688
52;46;38;0.212579
53;46;38;0.163797
54;46;38;0.10902
55;46;38;0.0606409
56;46;38;0.0276845
57;46;38;0.0104723
41;47;38;0.0089957
42;47;38;0.0255585
43;47;38;0.0596713
44;47;38;0.112921
45;47;38;0.175336
46;47;38;0.233091
47;47;38;0.276995
48;47;38;0.30451
49;47;38;0.31592
50;47;38;0.311982
51;47;38;0.29241
52;47;38;0.256445
53;47;38;0.204637
54;47;38;0.143027
55;47;38;0.0834824
56;47;38;0.0395846
57;47;38;0.0152535
41;48;38;0.0114462
42;48;38;0.0321975
43;48;38;0.0733963
44;48;38;0.134252
45;48;38;0.201718
46;48;38;0.261072
47;48;38;0.30451
48;48;38;0.330783
49;48;38;0.341625
50;48;38;0.337897
51;48;38;0.31932
52;48;38;0.284323
53;48;38;0.232254
54;48;38;0.167252
55;48;38;0.101076
56;48;38;0.0493848
57;48;38;0.0193588
58;48;38;0.00625084
41;49;38;0.012685
42;49;38;0.0354966
43;49;38;0.0799228
44;49;38;0.144044
45;49;38;0.213353
46;49;38;0.273014
47;49;38;0.31592
48;49;38;0.341625
49;49;38;0.351907
50;49;38;0.348405
51;49;38;0.330483
52;49;38;0.296064
53;49;38;0.244171
54;49;38;0.178096
