x;y;z;rho_b
293;21;1;0.471586
294;21;1;0.482054
295;21;1;0.486333
296;21;1;0.487126
297;21;1;0.486355
298;21;1;0.485222
299;21;1;0.484365
300;21;1;0.484058
301;21;1;0.484365
302;21;1;0.48522
303;21;1;0.486353
304;21;1;0.487124
305;21;1;0.486331
306;21;1;0.482052
307;21;1;0.471584
308;21;1;0.451876
309;21;1;0.420451
310;21;1;0.375906
311;21;1;0.31711
312;21;1;0.244072
313;21;1;0.163663
314;21;1;0.0921239
315;21;1;0.0431752
316;21;1;0.016775
317;21;1;0.00523771
283;22;1;0.00964292
284;22;1;0.0284684
285;22;1;0.0681798
286;22;1;0.134425
287;22;1;0.217855
288;22;1;0.298812
289;22;1;0.365525
290;22;1;0.416203
291;22;1;0.451843
292;22;1;0.473676
293;22;1;0.484092
294;22;1;0.486739
295;22;1;0.48544
296;22;1;0.483109
297;22;1;0.481334
298;22;1;0.480509
299;22;1;0.480331
300;22;1;0.48034
301;22;1;0.480327
302;22;1;0.480501
303;22;1;0.481322
304;22;1;0.483096
305;22;1;0.485427
306;22;1;0.486725
307;22;1;0.48408
308;22;1;0.473665
309;22;1;0.451826
310;22;1;0.416172
311;22;1;0.365471
312;22;1;0.298722
313;22;1;0.217754
314;22;1;0.134344
315;22;1;0.0681357
316;22;1;0.0284528
317;22;1;0.00963914
283;23;1;0.015954
284;23;1;0.0439678
285;23;1;0.0985217
286;23;1;0.179174
287;23;1;0.267078
288;23;1;0.343675
289;23;1;0.402948
290;23;1;0.445151
291;23;1;0.47154
292;23;1;0.484083
293;23;1;0.486558
294;23;1;0.484119
295;23;1;0.48132
296;23;1;0.480425
297;23;1;0.48146
298;23;1;0.483344
299;23;1;0.484942
300;23;1;0.485543
301;23;1;0.484927
302;23;1;0.483316
303;23;1;0.481421
304;23;1;0.48038
305;23;1;0.481272
306;23;1;0.48407
307;23;1;0.486507
308;23;1;0.484032
309;23;1;0.47148
310;23;1;0.445039
311;23;1;0.402713
312;23;1;0.34325
313;23;1;0.266552
314;23;1;0.178681
315;23;1;0.0981953
316;23;1;0.0438238
317;23;1;0.0159099
282;24;1;0.0073458
283;24;1;0.024054
284;24;1;0.0625916
285;24;1;0.131457
286;24;1;0.221304
287;24;1;0.308232
288;24;1;0.378919
289;24;1;0.430586
290;24;1;0.464285
291;24;1;0.482016
292;24;1;0.486741
293;24;1;0.484126
294;24;1;0.480925
295;24;1;0.480971
296;24;1;0.48415
297;24;1;0.488503
298;24;1;0.492286
299;24;1;0.494654
300;24;1;0.495427
301;24;1;0.494622
302;24;1;0.492225
303;24;1;0.488418
304;24;1;0.48405
305;24;1;0.480861
306;24;1;0.48081
307;24;1;0.484035
308;24;1;0.486755
309;24;1;0.482141
310;24;1;0.464365
311;24;1;0.430351
312;24;1;0.37811
313;24;1;0.306954
314;24;1;0.219831
315;24;1;0.130239
316;24;1;0.0619046
317;24;1;0.0237925
318;24;1;0.00727759
282;25;1;0.0107903
283;25;1;0.0334514
284;25;1;0.0828879
285;25;1;0.163578
286;25;1;0.257485
287;25;1;0.340957
288;25;1;0.405605
289;25;1;0.449837
290;25;1;0.475813
291;25;1;0.486315
292;25;1;0.485458
293;25;1;0.48133
294;25;1;0.480966
295;25;1;0.485338
296;25;1;0.491566
297;25;1;0.496938
298;25;1;0.500398
299;25;1;0.502122
300;25;1;0.502607
301;25;1;0.502074
302;25;1;0.500306
303;25;1;0.496808
304;25;1;0.491408
305;25;1;0.485163
306;25;1;0.480832
307;25;1;0.481452
308;25;1;0.486136
309;25;1;0.487481
310;25;1;0.477022
311;25;1;0.450569
312;25;1;0.405467
313;25;1;0.339927
314;25;1;0.255533
315;25;1;0.161274
316;25;1;0.0810928
317;25;1;0.0325546
318;25;1;0.0104996
282;26;1;0.014583
283;26;1;0.0433154
284;26;1;0.10289
285;26;1;0.191908
286;26;1;0.286489
287;26;1;0.366017
288;26;1;0.424871
289;26;1;0.462462
290;26;1;0.482174
291;26;1;0.487134
292;26;1;0.483137
293;26;1;0.480423
294;26;1;0.48413
295;26;1;0.491553
296;26;1;0.498358
297;26;1;0.502595
298;26;1;0.504569
299;26;1;0.505289
300;26;1;0.50544
301;26;1;0.50523
302;26;1;0.504454
303;26;1;0.502431
304;26;1;0.498156
305;26;1;0.491366
306;26;1;0.484199
307;26;1;0.481316
308;26;1;0.485295
309;26;1;0.490019
310;26;1;0.484854
311;26;1;0.46455
312;26;1;0.426456
313;26;1;0.367095
314;26;1;0.286158
315;26;1;0.190036
316;26;1;0.100259
317;26;1;0.0413931
318;26;1;0.0137636
282;27;1;0.0182831
283;27;1;0.0525941
284;27;1;0.120587
285;27;1;0.214564
286;27;1;0.308381
287;27;1;0.384309
288;27;1;0.43796
289;27;1;0.470343
290;27;1;0.485387
291;27;1;0.486385
292;27;1;0.481359
293;27;1;0.481436
294;27;1;0.488464
295;27;1;0.496918
296;27;1;0.502595
297;27;1;0.505111
298;27;1;0.505885
299;27;1;0.506055
300;27;1;0.506054
301;27;1;0.505981
302;27;1;0.505745
303;27;1;0.50491
304;27;1;0.502362
305;27;1;0.496817
306;27;1;0.48907
307;27;1;0.48372
308;27;1;0.485599
309;27;1;0.491085
310;27;1;0.489108
311;27;1;0.473255
312;27;1;0.440912
313;27;1;0.387569
314;27;1;0.310617
315;27;1;0.214417
316;27;1;0.117383
317;27;1;0.0491051
318;27;1;0.0164223
281;28;1;0.00592486
282;28;1;0.0213953
283;28;1;0.0601927
284;28;1;0.134309
285;28;1;0.230759
286;28;1;0.323633
287;28;1;0.396609
288;28;1;0.446175
289;28;1;0.475031
290;28;1;0.486821
291;28;1;0.485268
292;28;1;0.480525
293;28;1;0.483298
294;28;1;0.492237
295;28;1;0.500385
296;28;1;0.504582
297;28;1;0.505902
298;28;1;0.506144
299;28;1;0.506142
300;28;1;0.506102
301;28;1;0.50605
302;28;1;0.505967
303;28;1;0.50566
304;28;1;0.504354
305;28;1;0.500558
306;28;1;0.49388
307;28;1;0.487783
308;28;1;0.487664
309;28;1;0.492373
310;28;1;0.492311
311;28;1;0.480295
312;28;1;0.452702
313;28;1;0.404184
314;28;1;0.32954
315;28;1;0.230428
316;28;1;0.126327
317;28;1;0.0520692
318;28;1;0.0171056
281;29;1;0.00660777
282;29;1;0.0234677
283;29;1;0.0651633
284;29;1;0.142921
285;29;1;0.240376
286;29;1;0.332634
287;29;1;0.403606
288;29;1;0.450626
289;29;1;0.477515
290;29;1;0.487342
291;29;1;0.484421
292;29;1;0.480336
293;29;1;0.484878
294;29;1;0.494602
295;29;1;0.502123
296;29;1;0.505325
297;29;1;0.506099
298;29;1;0.506178
299;29;1;0.506128
300;29;1;0.506065
301;29;1;0.506003
302;29;1;0.505949
303;29;1;0.50581
304;29;1;0.505135
305;29;1;0.502744
306;29;1;0.497709
307;29;1;0.492119
308;29;1;0.49066
309;29;1;0.493803
310;29;1;0.494714
311;29;1;0.486965
312;29;1;0.465685
313;29;1;0.421567
314;29;1;0.343351
315;29;1;0.2323
316;29;1;0.118724
317;29;1;0.0452083
318;29;1;0.0139935
281;30;1;0.00684688
282;30;1;0.0241852
283;30;1;0.066869
284;30;1;0.14581
285;30;1;0.243516
286;30;1;0.335576
287;30;1;0.405836
288;30;1;0.452014
289;30;1;0.478286
290;30;1;0.487457
291;30;1;0.484122
292;30;1;0.480341
293;30;1;0.48547
294;30;1;0.495377
295;30;1;0.502625
296;30;1;0.505505
297;30;1;0.506138
298;30;1;0.506183
299;30;1;0.506129
300;30;1;0.506068
301;30;1;0.506007
302;30;1;0.505961
303;30;1;0.505889
304;30;1;0.505569
305;30;1;0.504258
306;30;1;0.500993
307;30;1;0.496614
308;30;1;0.494598
309;30;1;0.496652
310;30;1;0.499176
311;30;1;0.498254
312;30;1;0.490215
313;30;1;0.459555
314;30;1;0.371914
315;30;1;0.218485
316;30;1;0.0781789
317;30;1;0.0196488
281;31;1;0.0065974
282;31;1;0.0234365
283;31;1;0.0650893
284;31;1;0.142795
285;31;1;0.240238
286;31;1;0.332506
287;31;1;0.403508
288;31;1;0.450565
289;31;1;0.477481
290;31;1;0.487337
291;31;1;0.484435
292;31;1;0.480338
293;31;1;0.484855
294;31;1;0.494571
295;31;1;0.502105
296;31;1;0.505322
297;31;1;0.506104
298;31;1;0.506188
299;31;1;0.506153
300;31;1;0.50611
301;31;1;0.506065
302;31;1;0.506026
303;31;1;0.505981
304;31;1;0.505832
305;31;1;0.505152
306;31;1;0.50318
307;31;1;0.500074
308;31;1;0.498115
309;31;1;0.499191
310;31;1;0.502073
311;31;1;0.504913
312;31;1;0.50345
313;31;1;0.477442
314;31;1;0.380317
315;31;1;0.198766
316;31;1;0.048999
317;31;1;0.00601598
281;32;1;0.00590607
282;32;1;0.0213379
283;32;1;0.0600544
284;32;1;0.134066
285;32;1;0.230482
286;32;1;0.323374
287;32;1;0.396405
288;32;1;0.446043
289;32;1;0.474957
290;32;1;0.486803
291;32;1;0.485291
292;32;1;0.480536
293;32;1;0.483261
294;32;1;0.492175
295;32;1;0.500339
296;32;1;0.504566
297;32;1;0.505907
298;32;1;0.506162
299;32;1;0.506175
300;32;1;0.506145
301;32;1;0.506114
302;32;1;0.506083
303;32;1;0.506053
304;32;1;0.505994
305;32;1;0.505719
306;32;1;0.504741
307;32;1;0.502861
308;32;1;0.501199
309;32;1;0.501316
310;32;1;0.503242
311;32;1;0.505793
312;32;1;0.504624
313;32;1;0.477416
314;32;1;0.373339
315;32;1;0.181648
316;32;1;0.0369424
282;33;1;0.0182081
283;33;1;0.0524092
284;33;1;0.120245
285;33;1;0.214147
286;33;1;0.307986
287;33;1;0.383986
288;33;1;0.437738
289;33;1;0.470214
290;33;1;0.485342
291;33;1;0.486409
292;33;1;0.481389
293;33;1;0.481405
294;33;1;0.48838
295;33;1;0.496834
296;33;1;0.502545
297;33;1;0.5051
298;33;1;0.505903
299;33;1;0.506096
300;33;1;0.506141
301;33;1;0.506145
302;33;1;0.50613
303;33;1;0.506112
304;33;1;0.506092
305;33;1;0.506017
306;33;1;0.505656
307;33;1;0.504722
308;33;1;0.503559
309;33;1;0.503129
310;33;1;0.503771
311;33;1;0.504807
312;33;1;0.501251
313;33;1;0.466743
314;33;1;0.349492
315;33;1;0.153627
316;33;1;0.0270056
282;34;1;0.014501
283;34;1;0.0431066
284;34;1;0.102481
285;34;1;0.191359
286;34;1;0.285949
287;34;1;0.36556
288;34;1;0.424532
289;34;1;0.462251
290;34;1;0.482079
291;34;1;0.48714
292;34;1;0.483185
293;34;1;0.480422
294;34;1;0.484049
295;34;1;0.491434
296;34;1;0.498256
297;34;1;0.502552
298;34;1;0.504621
299;34;1;0.505464
300;34;1;0.50588
301;34;1;0.50606
302;34;1;0.506139
303;34;1;0.506161
304;34;1;0.506157
305;34;1;0.506157
306;34;1;0.506118
307;34;1;0.505866
308;34;1;0.505395
309;34;1;0.505092
310;34;1;0.505148
311;34;1;0.505043
312;34;1;0.496979
313;34;1;0.446844
314;34;1;0.306252
315;34;1;0.113727
316;34;1;0.0170186
282;35;1;0.0107115
283;35;1;0.0332425
284;35;1;0.0824514
285;35;1;0.162926
286;35;1;0.256792
287;35;1;0.340348
288;35;1;0.405123
289;35;1;0.449507
290;35;1;0.475633
291;35;1;0.48627
292;35;1;0.485505
293;35;1;0.481374
294;35;1;0.480932
295;35;1;0.485225
296;35;1;0.491464
297;35;1;0.496994
298;35;1;0.500825
299;35;1;0.503095
300;35;1;0.504616
301;35;1;0.505444
302;35;1;0.505939
303;35;1;0.506163
304;35;1;0.506236
305;35;1;0.506252
306;35;1;0.506281
307;35;1;0.506319
308;35;1;0.506353
309;35;1;0.506381
310;35;1;0.506341
311;35;1;0.504556
312;35;1;0.486806
313;35;1;0.410367
314;35;1;0.242399
315;35;1;0.0707856
316;35;1;0.00887295
282;36;1;0.00727856
283;36;1;0.0238654
284;36;1;0.062172
285;36;1;0.130755
286;36;1;0.220467
287;36;1;0.307453
288;36;1;0.378269
289;36;1;0.430098
290;36;1;0.463972
291;36;1;0.481871
292;36;1;0.486738
293;36;1;0.484194
294;36;1;0.480964
295;36;1;0.480977
296;36;1;0.484346
297;36;1;0.489263
298;36;1;0.494151
299;36;1;0.498071
300;36;1;0.501381
301;36;1;0.503522
302;36;1;0.505025
303;36;1;0.505877
304;36;1;0.506272
305;36;1;0.506358
306;36;1;0.50636
307;36;1;0.506415
308;36;1;0.506506
309;36;1;0.506535
310;36;1;0.505981
311;36;1;0.499459
312;36;1;0.462133
313;36;1;0.348748
314;36;1;0.164672
315;36;1;0.0363198
283;37;1;0.0158001
284;37;1;0.0436026
285;37;1;0.0978411
286;37;1;0.178241
287;37;1;0.26612
288;37;1;0.342836
289;37;1;0.40227
290;37;1;0.444654
291;37;1;0.471234
292;37;1;0.48396
293;37;1;0.486574
294;37;1;0.484224
295;37;1;0.481695
296;37;1;0.481572
297;37;1;0.484
298;37;1;0.488111
299;37;1;0.492516
300;37;1;0.497029
301;37;1;0.500448
302;37;1;0.503188
303;37;1;0.504993
304;37;1;0.506075
305;37;1;0.506453
306;37;1;0.506468
307;37;1;0.506482
308;37;1;0.506445
309;37;1;0.506135
310;37;1;0.503137
311;37;1;0.483895
312;37;1;0.412819
313;37;1;0.259625
314;37;1;0.0907799
315;37;1;0.0153825
283;38;1;0.00952973
284;38;1;0.0281801
285;38;1;0.0675891
286;38;1;0.13349
287;38;1;0.216751
288;38;1;0.297765
289;38;1;0.364631
290;38;1;0.415484
291;38;1;0.451317
292;38;1;0.473352
293;38;1;0.483949
294;38;1;0.48687
295;38;1;0.486393
296;38;1;0.48563
297;38;1;0.485983
298;38;1;0.48809
299;38;1;0.49113
300;38;1;0.495063
301;38;1;0.498529
302;38;1;0.501563
303;38;1;0.50387
304;38;1;0.505647
305;38;1;0.506526
306;38;1;0.506596
307;38;1;0.50648
308;38;1;0.50621
309;38;1;0.504266
310;38;1;0.492287
311;38;1;0.445095
312;38;1;0.327243
313;38;1;0.155745
314;38;1;0.0390988
315;38;1;0.00545853
283;39;1;0.00516356
284;39;1;0.0165696
285;39;1;0.0427187
286;39;1;0.091303
287;39;1;0.162522
288;39;1;0.24284
289;39;1;0.315979
290;39;1;0.374941
291;39;1;0.419665
292;39;1;0.451279
293;39;1;0.471177
294;39;1;0.482075
295;39;1;0.487611
296;39;1;0.490287
297;39;1;0.491454
298;39;1;0.492821
299;39;1;0.494314
300;39;1;0.497167
301;39;1;0.499652
302;39;1;0.501722
303;39;1;0.503479
304;39;1;0.505385
305;39;1;0.506592
306;39;1;0.506661
307;39;1;0.506204
308;39;1;0.504298
309;39;1;0.49449
310;39;1;0.458028
311;39;1;0.364202
312;39;1;0.208016
313;39;1;0.0695583
314;39;1;0.0132259
284;40;1;0.0087177
285;40;1;0.0244257
286;40;1;0.0564506
287;40;1;0.109927
288;40;1;0.180982
289;40;1;0.25579
290;40;1;0.321852
291;40;1;0.374891
292;40;1;0.41538
293;40;1;0.444483
294;40;1;0.464056
295;40;1;0.476935
296;40;1;0.484938
297;40;1;0.489333
298;40;1;0.492664
299;40;1;0.495187
300;40;1;0.499708
301;40;1;0.502577
302;40;1;0.503691
303;40;1;0.504159
304;40;1;0.505482
305;40;1;0.506592
306;40;1;0.506144
307;40;1;0.503235
308;40;1;0.492331
309;40;1;0.458026
310;40;1;0.375612
311;40;1;0.235592
312;40;1;0.0944572
313;40;1;0.0227814
285;41;1;0.0124234
286;41;1;0.0312449
287;41;1;0.0662051
288;41;1;0.120026
289;41;1;0.187233
290;41;1;0.255729
291;41;1;0.315862
292;41;1;0.364431
293;41;1;0.401892
294;41;1;0.429766
295;41;1;0.450222
296;41;1;0.464409
297;41;1;0.473292
298;41;1;0.480503
299;41;1;0.487357
300;41;1;0.498783
